datetime,n_neurons,activation,optimizer,train_acc,train_loss,valid_acc,valid_loss,checkpoint
2025-03-27_23-46-52,4,sigmoid,sgd,0.6442307829856873,1.0671091079711914,0.4375,1.122180461883545,model_4_sigmoid_sgd.keras
2025-03-27_23-46-56,4,sigmoid,sgd,0.9038461446762085,0.8994974493980408,0.9375,0.9118571281433105,model_4_sigmoid_sgd_1.keras
2025-03-27_23-47-01,4,sigmoid,sgd,0.6634615659713745,0.877938985824585,0.4375,0.9564767479896545,model_4_sigmoid_sgd_2.keras
2025-03-27_23-47-06,4,sigmoid,rmsprop,0.932692289352417,0.9059619307518005,0.9375,0.9209213256835938,model_4_sigmoid_rmsprop.keras
2025-03-27_23-47-11,4,sigmoid,rmsprop,0.875,0.41149061918258667,0.8125,0.5259613990783691,model_4_sigmoid_rmsprop_1.keras
2025-03-27_23-47-17,4,sigmoid,rmsprop,0.8461538553237915,0.7618095874786377,0.9375,0.7989559173583984,model_4_sigmoid_rmsprop_2.keras
2025-03-27_23-47-21,4,sigmoid,adam,0.8942307829856873,0.4695513844490051,0.8125,0.5743520855903625,model_4_sigmoid_adam.keras
2025-03-27_23-47-26,4,sigmoid,adam,0.817307710647583,0.93025141954422,1.0,0.9383659362792969,model_4_sigmoid_adam_1.keras
2025-03-27_23-47-32,4,sigmoid,adam,0.8653846383094788,0.9261601567268372,0.9375,0.9278099536895752,model_4_sigmoid_adam_2.keras
2025-03-27_23-47-36,4,relu,sgd,0.9807692170143127,0.10821159929037094,0.875,0.2825022339820862,model_4_relu_sgd.keras
2025-03-27_23-47-41,4,relu,sgd,0.7115384340286255,0.7477801442146301,0.9375,0.5592305660247803,model_4_relu_sgd_1.keras
2025-03-27_23-47-46,4,relu,sgd,0.7019230723381042,0.6839002966880798,0.9375,0.6666067838668823,model_4_relu_sgd_2.keras
2025-03-27_23-47-51,4,relu,rmsprop,0.817307710647583,0.6816024780273438,0.9375,0.6597654819488525,model_4_relu_rmsprop.keras
2025-03-27_23-47-56,4,relu,rmsprop,0.807692289352417,0.4218161702156067,0.9375,0.4075532555580139,model_4_relu_rmsprop_1.keras
2025-03-27_23-48-01,4,relu,rmsprop,0.7884615659713745,0.6545366048812866,0.9375,0.6023314595222473,model_4_relu_rmsprop_2.keras
2025-03-27_23-48-07,4,relu,adam,0.7788461446762085,0.6639367341995239,0.9375,0.7491386532783508,model_4_relu_adam.keras
2025-03-27_23-48-12,4,relu,adam,0.8269230723381042,0.5945940613746643,0.9375,0.6121285557746887,model_4_relu_adam_1.keras
2025-03-27_23-48-19,4,relu,adam,0.817307710647583,0.37039855122566223,0.875,0.6154162883758545,model_4_relu_adam_2.keras
2025-03-27_23-48-23,8,sigmoid,sgd,0.8269230723381042,0.8422979116439819,0.9375,0.8602158427238464,model_8_sigmoid_sgd.keras
2025-03-27_23-48-28,8,sigmoid,sgd,0.7211538553237915,0.6149066090583801,0.5,0.688205897808075,model_8_sigmoid_sgd_1.keras
2025-03-27_23-48-33,8,sigmoid,sgd,0.8653846383094788,0.721830427646637,0.8125,0.77253657579422,model_8_sigmoid_sgd_2.keras
2025-03-27_23-48-37,8,sigmoid,rmsprop,0.9711538553237915,0.326551616191864,0.875,0.42038577795028687,model_8_sigmoid_rmsprop.keras
2025-03-27_23-48-42,8,sigmoid,rmsprop,0.9519230723381042,0.3762764632701874,0.9375,0.45391950011253357,model_8_sigmoid_rmsprop_1.keras
2025-03-27_23-48-48,8,sigmoid,rmsprop,0.9230769276618958,0.7038583755493164,0.9375,0.7267271280288696,model_8_sigmoid_rmsprop_2.keras
2025-03-27_23-48-53,8,sigmoid,adam,0.9615384340286255,0.8010759949684143,0.9375,0.8254503011703491,model_8_sigmoid_adam.keras
2025-03-27_23-48-58,8,sigmoid,adam,0.8557692170143127,1.0137156248092651,0.9375,1.0108307600021362,model_8_sigmoid_adam_1.keras
2025-03-27_23-49-04,8,sigmoid,adam,0.875,0.6970356702804565,0.9375,0.7348397970199585,model_8_sigmoid_adam_2.keras
2025-03-27_23-49-08,8,relu,sgd,0.8365384340286255,0.8312152624130249,0.9375,0.8453548550605774,model_8_relu_sgd.keras
2025-03-27_23-49-13,8,relu,sgd,0.8461538553237915,0.5225903987884521,0.9375,0.4861944615840912,model_8_relu_sgd_1.keras
2025-03-27_23-49-19,8,relu,sgd,0.875,0.34182125329971313,1.0,0.3305612802505493,model_8_relu_sgd_2.keras
2025-03-27_23-49-24,8,relu,rmsprop,0.7884615659713745,0.4329163432121277,1.0,0.36974310874938965,model_8_relu_rmsprop.keras
2025-03-27_23-49-30,8,relu,rmsprop,0.7788461446762085,0.6997400522232056,0.9375,0.7138216495513916,model_8_relu_rmsprop_1.keras
2025-03-27_23-49-35,8,relu,rmsprop,0.8942307829856873,0.3038223683834076,0.875,0.42909106612205505,model_8_relu_rmsprop_2.keras
2025-03-27_23-49-41,8,relu,adam,0.8942307829856873,0.5855754613876343,0.8125,0.6816482543945312,model_8_relu_adam.keras
2025-03-27_23-49-46,8,relu,adam,0.8846153616905212,0.3688821494579315,0.875,0.47092586755752563,model_8_relu_adam_1.keras
